ponto,data,precipitacao_mm
Ponto_01,2026-01-01,16.2
Ponto_01,2026-01-02,20.8
Ponto_01,2026-01-03,9.4
Ponto_01,2026-01-04,0.5
Ponto_01,2026-01-05,29.7
Ponto_01,2026-01-06,13.5
Ponto_01,2026-01-07,5.9
Ponto_02,2026-01-01,17.3
Ponto_02,2026-01-02,24.1
Ponto_02,2026-01-03,12.8
Ponto_02,2026-01-04,4.2
Ponto_02,2026-01-05,27.9
Ponto_02,2026-01-06,15.3
Ponto_02,2026-01-07,8.6
Ponto_03,2026-01-01,13.8
Ponto_03,2026-01-02,18.5
Ponto_03,2026-01-03,7.9
Ponto_03,2026-01-04,2.1
Ponto_03,2026-01-05,25.2
Ponto_03,2026-01-06,11.7
Ponto_03,2026-01-07,5.4
Ponto_04,2026-01-01,21.6
Ponto_04,2026-01-02,27.3
Ponto_04,2026-01-03,15.1
Ponto_04,2026-01-04,5.8
Ponto_04,2026-01-05,31.9
Ponto_04,2026-01-06,17.4
Ponto_04,2026-01-07,10.2
Ponto_05,2026-01-01,15.9
Ponto_05,2026-01-02,20.1
Ponto_05,2026-01-03,10.7
Ponto_05,2026-01-04,3.0
Ponto_05,2026-01-05,28.3
Ponto_05,2026-01-06,14.8
Ponto_05,2026-01-07,7.5
